timestep,light_state_north,light_state_south,light_state_east,light_state_west,cars_north_lane,cars_south_lane,cars_east_lane,cars_west_lane,north_avg_wait_time,south_avg_wait_time,east_avg_wait_time,west_avg_wait_time
9026,1,1,0,0,0,0,3,3,0.0,0.0,12.666666666666666,12.666666666666666
9027,1,1,0,0,0,0,4,4,0.0,0.0,10.25,10.25
9028,1,1,0,0,0,0,4,4,0.0,0.0,11.25,11.25
9029,1,1,0,0,0,0,4,4,0.0,0.0,12.25,12.25
9030,1,1,0,0,0,0,4,4,0.0,0.0,13.25,13.25
9031,0,0,1,1,0,0,5,5,0.0,0.0,11.4,11.4
9032,0,0,1,1,1,1,5,5,0.0,0.0,7.2,7.2
9033,0,0,1,1,2,2,4,4,0.5,0.5,4.75,4.75
9034,0,0,1,1,2,2,3,3,1.5,1.5,4.0,4.0
9035,0,0,1,1,2,2,2,2,2.5,2.5,3.5,3.5
9036,0,0,1,1,2,2,1,1,3.5,3.5,4.0,4.0
9037,0,0,1,1,3,3,1,1,3.0,3.0,0.0,0.0
9038,0,0,1,1,4,4,0,0,3.0,3.0,0.0,0.0
9039,1,1,0,0,5,5,0,0,3.2,3.2,0.0,0.0
9040,1,1,0,0,5,5,0,0,2.6,2.6,0.0,0.0
9041,1,1,0,0,4,4,0,0,2.5,2.5,0.0,0.0
9042,1,1,0,0,4,4,1,1,2.25,2.25,0.0,0.0
9043,1,1,0,0,3,3,1,1,2.6666666666666665,2.6666666666666665,1.0,1.0
9044,1,1,0,0,2,2,1,1,3.0,3.0,2.0,2.0
9045,1,1,0,0,2,2,2,2,1.5,1.5,1.5,1.5
9046,1,1,0,0,1,1,2,2,1.0,1.0,2.5,2.5
9047,1,1,0,0,0,0,2,2,0.0,0.0,3.5,3.5
9048,1,1,0,0,0,0,3,3,0.0,0.0,3.0,3.0
9049,1,1,0,0,0,0,4,4,0.0,0.0,3.0,3.0
9050,1,1,0,0,0,0,4,4,0.0,0.0,4.0,4.0
9051,0,0,1,1,0,0,5,5,0.0,0.0,4.0,4.0
9052,0,0,1,1,1,1,4,4,0.0,0.0,3.75,3.75
9053,0,0,1,1,2,2,4,4,0.5,0.5,2.75,2.75
9054,0,0,1,1,2,2,3,3,1.5,1.5,3.0,3.0
9055,0,0,1,1,3,3,3,3,1.6666666666666667,1.6666666666666667,2.0,2.0
9056,0,0,1,1,3,3,2,2,2.6666666666666665,2.6666666666666665,2.0,2.0
9057,0,0,1,1,3,3,1,1,3.6666666666666665,3.6666666666666665,2.0,2.0
9058,0,0,1,1,4,4,1,1,3.5,3.5,0.0,0.0
9059,0,0,1,1,4,4,0,0,4.5,4.5,0.0,0.0
9060,0,0,1,1,4,4,0,0,5.5,5.5,0.0,0.0
9061,1,1,0,0,5,5,0,0,5.2,5.2,0.0,0.0
9062,1,1,0,0,4,4,0,0,5.25,5.25,0.0,0.0
9063,1,1,0,0,4,4,1,1,3.75,3.75,0.0,0.0
9064,1,1,0,0,3,3,1,1,3.3333333333333335,3.3333333333333335,1.0,1.0
9065,1,1,0,0,3,3,2,2,2.0,2.0,1.0,1.0
9066,1,1,0,0,3,3,3,3,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333
9067,1,1,0,0,2,2,3,3,1.5,1.5,2.3333333333333335,2.3333333333333335
9068,1,1,0,0,1,1,3,3,2.0,2.0,3.3333333333333335,3.3333333333333335
9069,1,1,0,0,0,0,3,3,0.0,0.0,4.333333333333333,4.333333333333333
9070,1,1,0,0,0,0,3,3,0.0,0.0,5.333333333333333,5.333333333333333
9071,1,1,0,0,0,0,3,3,0.0,0.0,6.333333333333333,6.333333333333333
9072,1,1,0,0,0,0,3,3,0.0,0.0,7.333333333333333,7.333333333333333
9073,1,1,0,0,0,0,3,3,0.0,0.0,8.333333333333334,8.333333333333334
9074,1,1,0,0,0,0,3,3,0.0,0.0,9.333333333333334,9.333333333333334
9075,1,1,0,0,0,0,3,3,0.0,0.0,10.333333333333334,10.333333333333334
