total_traffic_ops,north_light,south_light,east_light,west_light,north_queue_size,south_queue_size,east_queue_size,west_queue_size
538,1,1,0,0,1,1,11,1
539,0,0,1,1,0,1,11,1
540,0,0,1,1,0,1,10,0
541,0,0,1,1,1,2,9,0
542,0,0,1,1,1,3,8,0
543,0,0,1,1,2,3,7,0
544,0,0,1,1,2,4,6,1
545,0,0,1,1,2,5,5,0
546,0,0,1,1,3,6,4,0
547,0,0,1,1,4,6,3,0
548,0,0,1,1,5,7,2,1
549,1,1,0,0,6,7,1,0
550,1,1,0,0,5,7,1,0
551,1,1,0,0,4,7,1,0
552,1,1,0,0,4,6,2,0
553,1,1,0,0,4,5,3,0
554,1,1,0,0,3,5,3,0
555,1,1,0,0,2,5,4,0
556,1,1,0,0,2,5,4,0
557,1,1,0,0,1,5,4,0
558,1,1,0,0,1,4,4,0
559,1,1,0,0,1,3,4,0
560,1,1,0,0,1,3,4,1
561,1,1,0,0,1,2,4,1
562,1,1,0,0,0,2,4,1
563,1,1,0,0,0,1,4,1
564,1,1,0,0,1,0,4,1
565,1,1,0,0,1,0,4,1
566,1,1,0,0,1,1,4,1
567,1,1,0,0,1,1,4,1
568,1,1,0,0,1,0,4,1
569,1,1,0,0,0,1,4,1
570,1,1,0,0,0,1,4,2
571,1,1,0,0,0,0,4,2
572,1,1,0,0,0,0,5,2
573,1,1,0,0,0,0,5,3
574,1,1,0,0,0,1,5,3
575,1,1,0,0,0,1,5,3
576,1,1,0,0,0,1,5,3
577,1,1,0,0,0,1,5,3
578,1,1,0,0,1,1,5,3
579,1,1,0,0,0,1,5,3
580,1,1,0,0,0,1,5,3
581,1,1,0,0,1,1,5,3
582,1,1,0,0,1,0,5,3
583,1,1,0,0,0,1,5,3
584,1,1,0,0,0,1,6,3
585,1,1,0,0,0,1,6,3
586,1,1,0,0,1,0,7,3
587,1,1,0,0,1,1,8,4
588,0,0,1,1,1,0,9,4
589,0,0,1,1,1,1,8,3
590,0,0,1,1,1,2,7,2
591,0,0,1,1,2,2,6,1
592,0,0,1,1,2,3,5,0
593,0,0,1,1,3,3,4,0
594,0,0,1,1,3,4,3,0
595,0,0,1,1,4,5,2,0
596,0,0,1,1,4,6,1,0
597,1,1,0,0,5,7,0,0
598,1,1,0,0,4,7,0,0
599,1,1,0,0,3,6,1,0
600,1,1,0,0,3,6,1,0
601,1,1,0,0,2,6,2,0
602,1,1,0,0,2,6,3,0
