total_traffic_ops,north_light,south_light,east_light,west_light,north_queue_size,north_current_wait_time,south_queue_size,south_current_wait_time,east_queue_size,east_current_wait_time,west_queue_size,west_current_wait_time
14782,1,1,0,0,1,9.0,2,12.666666666666666,1,3.0,1,0.0
14783,1,1,0,0,0,8.0,1,11.5,1,4.0,1,1.0
14784,1,1,0,0,1,0.0,0,12.0,1,5.0,1,2.0
14785,1,1,0,0,0,1.0,1,0.0,1,6.0,1,3.0
14786,1,1,0,0,1,0.0,0,1.0,2,7.0,1,4.0
14787,1,1,0,0,1,1.0,0,0.0,2,4.5,1,5.0
14788,1,1,0,0,0,1.0,0,0.0,3,5.5,1,6.0
14789,1,1,0,0,0,0.0,0,0.0,3,4.666666666666667,1,7.0
14790,1,1,0,0,0,0.0,0,0.0,3,5.666666666666667,1,8.0
14791,1,1,0,0,0,0.0,1,0.0,3,6.666666666666667,2,9.0
14792,1,1,0,0,0,0.0,0,1.0,3,7.666666666666667,2,5.5
14793,1,1,0,0,1,0.0,0,0.0,3,8.666666666666666,2,6.5
14794,1,1,0,0,0,1.0,0,0.0,3,9.666666666666666,3,7.5
14795,1,1,0,0,1,0.0,1,0.0,3,10.666666666666666,3,6.0
14796,1,1,0,0,0,1.0,1,1.0,4,11.666666666666666,3,7.0
14797,1,1,0,0,0,0.0,0,1.0,5,9.75,3,8.0
14798,1,1,0,0,1,0.0,1,0.0,5,8.8,3,9.0
14799,1,1,0,0,0,1.0,1,1.0,5,9.8,3,10.0
14800,1,1,0,0,1,0.0,0,1.0,5,10.8,4,11.0
14801,1,1,0,0,0,1.0,0,0.0,5,11.8,4,9.25
14802,1,1,0,0,1,0.0,1,0.0,5,12.8,4,10.25
14803,0,0,1,1,0,1.0,0,1.0,6,13.8,5,11.25
14804,0,0,1,1,0,0.0,0,0.0,5,12.5,4,10.0
14805,0,0,1,1,0,0.0,1,0.0,4,11.0,3,8.0
14806,0,0,1,1,0,0.0,1,1.0,4,10.0,2,7.0
14807,0,0,1,1,0,0.0,1,2.0,3,6.5,1,5.5
14808,0,0,1,1,0,0.0,1,3.0,2,6.0,0,5.0
14809,0,0,1,1,0,0.0,2,4.0,1,4.5,0,0.0
14810,0,0,1,1,1,0.0,2,3.0,0,4.0,0,0.0
14811,0,0,1,1,1,1.0,2,4.0,0,0.0,0,0.0
14812,0,0,1,1,1,2.0,3,5.0,0,0.0,0,0.0
14813,0,0,1,1,1,3.0,3,4.333333333333333,0,0.0,0,0.0
14814,0,0,1,1,1,4.0,3,5.333333333333333,0,0.0,0,0.0
14815,0,0,1,1,1,5.0,4,6.333333333333333,0,0.0,0,0.0
14816,0,0,1,1,2,6.0,4,5.75,0,0.0,1,0.0
14817,0,0,1,1,2,4.0,4,6.75,0,0.0,0,1.0
14818,0,0,1,1,3,5.0,4,7.75,0,0.0,0,0.0
14819,0,0,1,1,3,4.333333333333333,4,8.75,0,0.0,0,0.0
14820,0,0,1,1,3,5.333333333333333,4,9.75,0,0.0,1,0.0
14821,0,0,1,1,3,6.333333333333333,4,10.75,0,0.0,1,1.0
14822,0,0,1,1,4,7.333333333333333,4,11.75,0,0.0,0,1.0
14823,0,0,1,1,5,6.5,5,12.75,0,0.0,0,0.0
14824,0,0,1,1,5,6.2,5,11.2,0,0.0,0,0.0
14825,0,0,1,1,5,7.2,5,12.2,1,0.0,0,0.0
14826,1,1,0,0,6,8.2,5,13.2,0,1.0,0,0.0
14827,1,1,0,0,5,7.833333333333333,4,14.2,0,0.0,0,0.0
14828,1,1,0,0,5,7.0,4,13.25,1,0.0,0,0.0
14829,1,1,0,0,5,5.6,4,9.5,1,1.0,0,0.0
14830,1,1,0,0,4,4.4,3,6.25,1,2.0,0,0.0
14831,1,1,0,0,3,4.5,2,4.333333333333333,1,3.0,1,0.0
14832,1,1,0,0,2,4.333333333333333,1,3.5,1,4.0,1,1.0
14833,1,1,0,0,1,4.5,1,4.0,1,5.0,2,2.0
14834,1,1,0,0,1,5.0,0,1.0,1,6.0,2,2.0
14835,1,1,0,0,0,1.0,0,0.0,1,7.0,3,3.0
14836,1,1,0,0,1,0.0,0,0.0,1,8.0,3,3.0
14837,1,1,0,0,1,1.0,0,0.0,1,9.0,3,4.0
14838,1,1,0,0,1,1.0,0,0.0,1,10.0,3,5.0
14839,1,1,0,0,0,1.0,1,0.0,1,11.0,3,6.0
14840,1,1,0,0,0,0.0,1,1.0,2,12.0,3,7.0
14841,1,1,0,0,1,0.0,0,1.0,2,7.0,3,8.0
14842,1,1,0,0,0,1.0,0,0.0,2,8.0,3,9.0
14843,1,1,0,0,0,0.0,0,0.0,2,9.0,3,10.0
14844,1,1,0,0,0,0.0,0,0.0,2,10.0,4,11.0
14845,1,1,0,0,0,0.0,0,0.0,2,11.0,4,9.25
14846,1,1,0,0,1,0.0,0,0.0,2,12.0,5,10.25
14847,1,1,0,0,0,1.0,0,0.0,2,13.0,6,9.2
14848,1,1,0,0,0,0.0,0,0.0,2,14.0,6,8.666666666666666
14849,1,1,0,0,0,0.0,0,0.0,3,15.0,7,9.666666666666666
14850,1,1,0,0,1,0.0,0,0.0,3,11.0,7,9.285714285714286
14851,0,0,1,1,0,1.0,0,0.0,4,12.0,8,10.285714285714286
14852,0,0,1,1,0,0.0,0,0.0,4,10.0,7,10.0
14853,0,0,1,1,0,0.0,1,0.0,3,5.0,6,9.428571428571429
14854,0,0,1,1,0,0.0,1,1.0,2,3.3333333333333335,6,8.666666666666666
14855,0,0,1,1,0,0.0,1,2.0,1,3.5,5,6.5
14856,0,0,1,1,1,0.0,1,3.0,0,4.0,4,6.6
14857,0,0,1,1,2,1.0,2,4.0,0,0.0,3,6.75
14858,0,0,1,1,3,1.5,2,3.0,0,0.0,2,6.666666666666667
14859,0,0,1,1,3,2.0,2,4.0,0,0.0,2,6.5
14860,0,0,1,1,3,3.0,2,5.0,0,0.0,1,3.5
14861,0,0,1,1,4,4.0,2,6.0,0,0.0,0,2.0
14862,0,0,1,1,4,4.0,2,7.0,1,0.0,0,0.0
14863,0,0,1,1,4,5.0,2,8.0,0,1.0,0,0.0
14864,0,0,1,1,4,6.0,2,9.0,0,0.0,0,0.0
14865,0,0,1,1,5,7.0,3,10.0,0,0.0,0,0.0
14866,0,0,1,1,5,6.6,3,7.666666666666667,1,0.0,0,0.0
14867,0,0,1,1,6,7.6,3,8.666666666666666,0,1.0,0,0.0
14868,0,0,1,1,7,7.333333333333333,3,9.666666666666666,0,0.0,0,0.0
14869,0,0,1,1,7,7.285714285714286,4,10.666666666666666,1,0.0,0,0.0
14870,0,0,1,1,7,8.285714285714286,4,9.0,0,1.0,1,0.0
14871,1,1,0,0,7,9.285714285714286,4,10.0,0,0.0,0,1.0
14872,1,1,0,0,6,10.285714285714286,3,11.0,1,0.0,0,0.0
14873,1,1,0,0,6,10.333333333333334,2,9.333333333333334,1,1.0,0,0.0
14874,1,1,0,0,5,8.666666666666666,1,7.0,2,2.0,0,0.0
14875,1,1,0,0,4,8.2,0,6.0,2,2.0,0,0.0
14876,1,1,0,0,4,7.75,0,0.0,2,3.0,1,0.0
14877,1,1,0,0,3,6.0,0,0.0,2,4.0,2,1.0
14878,1,1,0,0,3,5.666666666666667,0,0.0,2,5.0,2,1.5
